Week,Month,Year,Case per Week,Case per Month,Case per Year
1,January,2016,70,2426,13117
2,January,2016,91,,
3,January,2016,74,,
4,January,2016,63,,
5,February,2016,62,2046,
6,February,2016,77,,
7,February,2016,53,,
8,February,2016,54,,
9,March,2016,41,1864,
10,March,2016,32,,
11,March,2016,35,,
12,March,2016,32,,
13,March,2016,50,,
14,April,2016,37,986,
15,April,2016,32,,
16,April,2016,51,,
17,April,2016,38,,
18,May,2016,42,807,
19,May,2016,48,,
20,May,2016,50,,
21,May,2016,50,,
22,May,2016,66,,
23,June,2016,62,1015,
24,June,2016,80,,
25,June,2016,73,,
26,June,2016,75,,
27,July,2016,62,956,
28,July,2016,53,,
29,July,2016,51,,
30,July,2016,67,,
31,August,2016,60,900,
32,August,2016,56,,
33,August,2016,53,,
34,August,2016,52,,
35,August,2016,33,,
36,September,2016,40,1032,
37,September,2016,53,,
38,September,2016,59,,
39,September,2016,39,,
40,October,2016,124,408,
41,October,2016,94,,
42,October,2016,108,,
43,October,2016,82,,
44,November,2016,85,401,
45,November,2016,84,,
46,November,2016,71,,
47,November,2016,75,,
48,November,2016,86,,
49,December,2016,59,276,
50,December,2016,81,,
51,December,2016,72,,
52,December,2016,64,,
1,January,2017,70,298,2772
2,January,2017,91,,
3,January,2017,74,,
4,January,2017,63,,
5,February,2017,62,246,
6,February,2017,77,,
7,February,2017,53,,
8,February,2017,54,,
9,March,2017,41,190,
10,March,2017,32,,
11,March,2017,35,,
12,March,2017,32,,
13,March,2017,50,,
14,April,2017,37,158,
15,April,2017,32,,
16,April,2017,51,,
17,April,2017,38,,
18,May,2017,42,256,
19,May,2017,48,,
20,May,2017,50,,
21,May,2017,50,,
22,May,2017,66,,
23,June,2017,62,290,
24,June,2017,80,,
25,June,2017,73,,
26,June,2017,75,,
27,July,2017,62,233,
28,July,2017,53,,
29,July,2017,51,,
30,July,2017,67,,
31,August,2017,60,254,
32,August,2017,56,,
33,August,2017,53,,
34,August,2017,52,,
35,August,2017,33,,
36,September,2017,40,191,
37,September,2017,53,,
38,September,2017,59,,
39,September,2017,39,,
40,October,2017,52,247,
41,October,2017,55,,
42,October,2017,63,,
43,October,2017,77,,
44,November,2017,62,218,
45,November,2017,44,,
46,November,2017,50,,
47,November,2017,24,,
48,November,2017,38,,
49,December,2017,34,191,
50,December,2017,40,,
51,December,2017,51,,
52,December,2017,66,,
1,January,2018,83,298,3140
2,January,2018,68,,
3,January,2018,54,,
4,January,2018,45,,
5,January,2018,48,,
6,February,2018,50,168,
7,February,2018,28,,
8,February,2018,39,,
9,February,2018,51,,
10,March,2018,37,136,
11,March,2018,39,,
12,March,2018,36,,
13,March,2018,24,,
14,April,2018,38,188,
15,April,2018,38,,
16,April,2018,56,,
17,April,2018,56,,
18,May,2018,77,322,
19,May,2018,62,,
20,May,2018,64,,
21,May,2018,65,,
22,May,2018,54,,
23,June,2018,75,267,
24,June,2018,55,,
25,June,2018,61,,
26,June,2018,76,,
27,July,2018,58,199,
28,July,2018,44,,
29,July,2018,41,,
30,July,2018,56,,
31,August,2018,51,296,
32,August,2018,59,,
33,August,2018,43,,
34,August,2018,68,,
35,August,2018,75,,
36,September,2018,76,228,
37,September,2018,49,,
38,September,2018,63,,
39,September,2018,40,,
40,October,2018,51,212,
41,October,2018,51,,
42,October,2018,62,,
43,October,2018,48,,
44,November,2018,75,321,
45,November,2018,71,,
46,November,2018,78,,
47,November,2018,97,,
48,December,2018,109,505,
50,December,2018,108,,
51,December,2018,128,,
52,December,2018,160,,
1,January,2019,207,1073,15924
2,January,2019,245,,
3,January,2019,216,,
4,January,2019,222,,
5,January,2019,183,,
6,February,2019,138,712,
7,February,2019,235,,
8,February,2019,182,,
9,February,2019,157,,
10,March,2019,134,550,
11,March,2019,109,,
12,March,2019,97,,
13,March,2019,101,,
14,March,2019,109,,
15,April,2019,125,611,
16,April,2019,135,,
17,April,2019,157,,
18,April,2019,194,,
19,May,2019,287,1375,
20,May,2019,309,,
21,May,2019,378,,
22,May,2019,401,,
23,June,2019,400,1704,
24,June,2019,467,,
25,June,2019,435,,
26,June,2019,402,,
27,July,2019,593,3112,
28,July,2019,663,,
29,July,2019,649,,
30,July,2019,606,,
31,July,2019,601,,
32,August,2019,528,1941,
33,August,2019,524,,
34,August,2019,475,,
35,August,2019,414,,
36,September,2019,327,1455,
37,September,2019,318,,
38,September,2019,303,,
39,September,2019,261,,
40,September,2019,246,,
41,October,2019,228,1017,
42,October,2019,239,,
43,October,2019,242,,
44,October,2019,308,,
45,November,2019,322,1320,
46,November,2019,373,,
47,November,2019,330,,
48,November,2019,295,,
49,December,2019,281,1054,
50,December,2019,257,,
51,December,2019,226,,
52,December,2019,290,,
